Level,MinValue,MaxValue,Offset,Domain,KC,Stimulus,Order,Answer Representation,# of Lanes
1,0,9,1,num,SD-ID,Audio + Visual,asc,Numbers,2
2,0,9,1,num,SD-ID,Audio,asc,Numbers,2
3,0,9,1,num,SD-ID,Audio + Visual,des,Numbers,2
4,0,9,1,num,SD-ID,Audio,des,Numbers,2
5,0,9,1,num,SD-ID,Audio + Visual,rand,Numbers,2
6,0,9,1,num,SD-ID,Audio,rand,Numbers,2
7,10,100,10,num,DD-ID,Audio + Visual,asc,Numbers,3
8,10,100,10,num,DD-ID,Audio,asc,Numbers,3
9,10,100,10,num,DD-ID,Audio + Visual,des,Numbers,3
10,10,100,10,num,DD-ID,Audio,des,Numbers,3
11,10,100,10,num,DD-ID,Audio + Visual,rand,Numbers,3
12,10,100,10,num,DD-ID,Audio,rand,Numbers,3
13,10,100,within,num,DD-ID,Audio + Visual,asc,Numbers,3
14,10,100,within,num,DD-ID,Audio,asc,Numbers,3
15,10,100,within,num,DD-ID,Audio + Visual,des,Numbers,3
16,10,100,within,num,DD-ID,Audio,des,Numbers,3
17,10,100,within,num,DD-ID,Audio + Visual,rand,Numbers,3
18,10,100,within,num,DD-ID,Audio,rand,Numbers,3
19,100,1000,100,num,TD-ID,Audio + Visual,asc,Numbers,3
20,100,1000,100,num,TD-ID,Audio,asc,Numbers,3
21,100,1000,100,num,TD-ID,Audio + Visual,des,Numbers,3
22,100,1000,100,num,TD-ID,Audio,des,Numbers,3
23,100,1000,100,num,TD-ID,Audio + Visual,rand,Numbers,3
24,100,1000,100,num,TD-ID,Audio,rand,Numbers,3
25,100,1000,within,num,TD-ID,Audio + Visual,asc,Numbers,3
26,100,1000,within,num,TD-ID,Audio,asc,Numbers,3
27,100,1000,within,num,TD-ID,Audio + Visual,des,Numbers,3
28,100,1000,within,num,TD-ID,Audio,des,Numbers,3
29,100,1000,within,num,TD-ID,Audio + Visual,rand,Numbers,3
30,100,1000,within,num,TD-ID,Audio,rand,Numbers,3
